ID,0,1,2,3,4,5,6,7,8,9,10
275,ham,whole milk,whole milk,coffee,,,,,,,
276,berries,butter,bottled water,,,,,,,,
277,other vegetables,butter,,,,,,,,,
278,pastry,pasta,eggs,,,,,,,,
279,canned beer,rolls/buns,coffee,soda,,,,,,,
280,white bread,brown bread,,,,,,,,,
281,rolls/buns,root vegetables,,,,,,,,,
282,tropical fruit,soda,,,,,,,,,
283,chicken,soda,,,,,,,,,
284,berries,jam,white bread,rolls/buns,coffee,,,,,,
285,red wine,bottled water,sweet spreads,,,,,,,,
286,rolls/buns,onions,napkins,,,,,,,,
287,canned beer,soda,,,,,,,,,
288,root vegetables,frozen vegetables,pet care,,,,,,,,
289,beverages,yogurt,,,,,,,,,
290,tropical fruit,whole milk,,,,,,,,,
291,grapes,tropical fruit,yogurt,bottled beer,baking powder,,,,,,
292,coffee,butter milk,,,,,,,,,
293,other vegetables,berries,newspapers,whole milk,pastry,,,,,,
294,bottled water,hygiene articles,,,,,,,,,
295,beef,margarine,other vegetables,,,,,,,,
296,specialty chocolate,soda,bathroom cleaner,,,,,,,,
297,beef,whole milk,,,,,,,,,
298,pork,sliced cheese,,,,,,,,,
299,pip fruit,other vegetables,,,,,,,,,
300,other vegetables,shopping bags,soda,eggs,,,,,,,
301,yogurt,newspapers,,,,,,,,,
302,root vegetables,citrus fruit,,,,,,,,,
303,rolls/buns,soda,,,,,,,,,
304,canned beer,herbs,margarine,,,,,,,,
305,ice cream,whipped/sour cream,,,,,,,,,
306,other vegetables,beef,soda,jam,butter,,,,,,
307,rolls/buns,citrus fruit,,,,,,,,,
308,berries,beverages,,,,,,,,,
309,whole milk,whole milk,eggs,,,,,,,,
310,specialty chocolate,white bread,,,,,,,,,
311,other vegetables,whole milk,,,,,,,,,
312,ham,white bread,,,,,,,,,
313,coffee,berries,,,,,,,,,
314,soda,flower (seeds),jam,,,,,,,,
315,berries,pip fruit,chocolate,,,,,,,,
316,herbs,pot plants,cake,,,,,,,,
317,yogurt,berries,,,,,,,,,
318,whole milk,hard cheese,,,,,,,,,
319,tropical fruit,beef,other vegetables,eggs,baking powder,,,,,,
320,yogurt,sauces,,,,,,,,,
321,beef,yogurt,,,,,,,,,
322,berries,whisky,specialty chocolate,dishes,yogurt,napkins,detergent,pastry,,,
323,ice cream,whole milk,,,,,,,,,
324,yogurt,newspapers,,,,,,,,,
325,photo/film,shopping bags,,,,,,,,,
326,root vegetables,soda,grapes,other vegetables,frozen vegetables,,,,,,
327,rolls/buns,grapes,bottled beer,berries,salty snack,chocolate,eggs,bottled water,,,
328,berries,other vegetables,bottled beer,,,,,,,,
329,cake,eggs,,,,,,,,,
330,pasta,whole milk,waffles,,,,,,,,
331,newspapers,salty snack,,,,,,,,,
332,chocolate,other vegetables,,,,,,,,,
333,whole milk,brown bread,eggs,,,,,,,,
334,beef,detergent,flour,,,,,,,,
335,tropical fruit,soda,,,,,,,,,
336,berries,tropical fruit,bottled water,root vegetables,,,,,,,
337,berries,whole milk,eggs,,,,,,,,
338,yogurt,shopping bags,,,,,,,,,
339,pickled vegetables,bottled water,,,,,,,,,
340,packaged fruit/vegetables,bottled water,pork,eggs,,,,,,,
341,pip fruit,fruit/vegetable juice,,,,,,,,,
342,shopping bags,root vegetables,,,,,,,,,
343,berries,whole milk,cake,,,,,,,,
344,hard cheese,whole milk,,,,,,,,,
345,whipped/sour cream,jam,shopping bags,,,,,,,,
346,tropical fruit,whole milk,soda,jam,,,,,,,
347,berries,whipped/sour cream,bottled water,,,,,,,,
348,citrus fruit,cake,eggs,,,,,,,,
349,tropical fruit,chocolate,,,,,,,,,
350,rolls/buns,shopping bags,cat food,,,,,,,,
351,tropical fruit,citrus fruit,yogurt,berries,specialty chocolate,hard cheese,whole milk,canned beer,,,
352,canned beer,napkins,rolls/buns,,,,,,,,
353,root vegetables,frozen vegetables,bottled water,cat food,,,,,,,
354,grapes,other vegetables,,,,,,,,,
355,pip fruit,brown bread,eggs,,,,,,,,
356,root vegetables,coffee,,,,,,,,,
357,spread cheese,pork,,,,,,,,,
358,beef,pasta,,,,,,,,,
359,whole milk,yogurt,,,,,,,,,
360,soda,hygiene articles,grapes,pudding powder,butter milk,butter,,,,,
361,whole milk,processed cheese,,,,,,,,,
362,brown bread,sparkling wine,,,,,,,,,
363,rolls/buns,other vegetables,whipped/sour cream,,,,,,,,
364,root vegetables,frozen vegetables,,,,,,,,,
365,chocolate,white wine,,,,,,,,,
366,yogurt,beverages,brown bread,,,,,,,,
367,other vegetables,white bread,detergent,,,,,,,,
368,chicken,pastry,candles,,,,,,,,
369,waffles,hygiene articles,tea,,,,,,,,
370,cream,yogurt,,,,,,,,,
371,ice cream,herbs,,,,,,,,,
372,yogurt,root vegetables,,,,,,,,,
373,eggs,yogurt,,,,,,,,,
374,yogurt,other vegetables,rolls/buns,herbs,,,,,,,
375,pork,whole milk,eggs,,,,,,,,
376,other vegetables,white bread,,,,,,,,,
377,bottled water,yogurt,tropical fruit,whole milk,,,,,,,
378,beef,specialty fat,newspapers,,,,,,,,
379,onions,newspapers,,,,,,,,,
380,rolls/buns,white bread,,,,,,,,,
381,whole milk,pastry,eggs,,,,,,,,
382,shopping bags,rolls/buns,,,,,,,,,
383,citrus fruit,misc. beverages,,,,,,,,,
384,liver loaf,chicken,rolls/buns,spread cheese,shopping bags,,,,,,
385,citrus fruit,misc. beverages,,,,,,,,,
386,pastry,canned beer,whipped/sour cream,grapes,,,,,,,
387,frozen potato products,cheese,,,,,,,,,
388,salty snack,pastry,oil,,,,,,,,
389,brown bread,whole milk,shopping bags,,,,,,,,
390,chocolate,whole milk,,,,,,,,,
391,jam,sugar,,,,,,,,,
392,pip fruit,margarine,,,,,,,,,
393,pip fruit,salty snack,pastry,,,,,,,,
394,citrus fruit,frozen vegetables,margarine,,,,,,,,
395,margarine,yogurt,,,,,,,,,
396,pickled vegetables,coffee,,,,,,,,,
397,bottled water,chocolate,,,,,,,,,
398,soda,salty snack,,,,,,,,,
399,ham,yogurt,,,,,,,,,
400,pastry,baking powder,butter,margarine,jam,dishes,,,,,
401,whole milk,soda,eggs,,,,,,,,
402,whole milk,frozen vegetables,soda,whole milk,eggs,,,,,,
403,other vegetables,whipped/sour cream,,,,,,,,,
404,bottled water,flour,sugar,,,,,,,,
405,beef,white bread,,,,,,,,,
406,dish cleaner,ice cream,jam,newspapers,,,,,,,
407,jam,canned beer,,,,,,,,,
408,whole milk,yogurt,newspapers,eggs,,,,,,,
409,pork,pudding powder,eggs,,,,,,,,
410,bottled beer,grapes,baking powder,,,,,,,,
411,root vegetables,shopping bags,,,,,,,,,
412,chocolate,brown bread,salty snack,,,,,,,,
413,root vegetables,citrus fruit,,,,,,,,,
414,chicken,shopping bags,,,,,,,,,
415,soda,whole milk,white bread,eggs,,,,,,,
416,dog food,berries,cake,shopping bags,,,,,,,
417,other vegetables,butter,,,,,,,,,
418,turkey,root vegetables,,,,,,,,,
419,whipped/sour cream,yogurt,,,,,,,,,
420,other vegetables,yogurt,,,,,,,,,
421,other vegetables,napkins,,,,,,,,,
422,brown bread,butter milk,canned vegetables,soda,,,,,,,
423,brown bread,soda,,,,,,,,,
424,other vegetables,pork,,,,,,,,,
425,other vegetables,cream cheese ,coffee,root vegetables,newspapers,hard cheese,,,,,
426,chicken,bottled water,,,,,,,,,
427,newspapers,white bread,rolls/buns,beverages,,,,,,,
428,berries,rolls/buns,,,,,,,,,
429,beef,whole milk,whipped/sour cream,eggs,,,,,,,
430,bottled beer,frozen vegetables,sliced cheese,,,,,,,,
431,pip fruit,processed cheese,canned beer,,,,,,,,
432,berries,condensed milk,,,,,,,,,
433,house keeping products,rolls/buns,pickled vegetables,jam,,,,,,,
434,ham,yogurt,,,,,,,,,
435,whole milk,hair spray,butter,pastry,eggs,,,,,,
436,grapes,whole milk,,,,,,,,,
437,tropical fruit,sugar,,,,,,,,,
438,soda,whole milk,newspapers,white bread,,,,,,,
439,citrus fruit,brown bread,,,,,,,,,
440,beef,other vegetables,,,,,,,,,
441,pastry,condensed milk,rice,tropical fruit,chocolate,,,,,,
442,other vegetables,grapes,,,,,,,,,
443,coffee,shopping bags,,,,,,,,,
444,chicken,dishes,,,,,,,,,
445,root vegetables,frozen vegetables,,,,,,,,,
446,bottled water,citrus fruit,,,,,,,,,
447,rolls/buns,oil,yogurt,,,,,,,,
448,pip fruit,whole milk,,,,,,,,,
449,frozen vegetables,rolls/buns,cling film/bags,,,,,,,,
450,pork,soda,canned vegetables,,,,,,,,
451,bottled beer,hygiene articles,,,,,,,,,
452,yogurt,soda,,,,,,,,,
453,root vegetables,margarine,rolls/buns,,,,,,,,
454,rolls/buns,margarine,,,,,,,,,
455,berries,pastry,,,,,,,,,
456,popcorn,citrus fruit,,,,,,,,,
457,condensed milk,shopping bags,,,,,,,,,
458,rolls/buns,whipped/sour cream,,,,,,,,,
459,misc. beverages,whole milk,long life bakery product,,,,,,,,
460,newspapers,pork,root vegetables,napkins,,,,,,,
461,citrus fruit,soda,,,,,,,,,
462,soda,roll products ,,,,,,,,,
463,berries,rolls/buns,shopping bags,margarine,,,,,,,
464,other vegetables,butter,pastry,whole milk,,,,,,,
465,grapes,soda,frozen vegetables,frozen vegetables,,,,,,,
466,coffee,eggs,,,,,,,,,
467,berries,white bread,,,,,,,,,
468,beef,coffee,,,,,,,,,
469,whole milk,baking powder,,,,,,,,,
470,flower (seeds),white wine,,,,,,,,,
471,grapes,frozen meals,flower (seeds),,,,,,,,
472,tea,yogurt,shopping bags,brown bread,,,,,,,
473,cream cheese ,specialty chocolate,,,,,,,,,
474,margarine,soda,,,,,,,,,
475,yogurt,rice,,,,,,,,,
476,tropical fruit,cream cheese ,cream cheese ,,,,,,,,
477,bottled water,berries,cake,root vegetables,,,,,,,
478,bottled beer,whole milk,,,,,,,,,
479,other vegetables,white bread,other vegetables,rolls/buns,shopping bags,salty snack,,,,,
480,soda,whole milk,,,,,,,,,
481,yogurt,pastry,,,,,,,,,
482,coffee,shopping bags,shopping bags,,,,,,,,
483,berries,rolls/buns,rice,,,,,,,,
484,jam,eggs,,,,,,,,,
485,pork,whole milk,napkins,,,,,,,,
486,cream cheese ,newspapers,,,,,,,,,
487,other vegetables,oil,,,,,,,,,
488,pastry,brown bread,yogurt,,,,,,,,
489,hard cheese,butter,,,,,,,,,
490,whole milk,other vegetables,,,,,,,,,
491,berries,shopping bags,soda,butter,cake,soda,,,,,
492,citrus fruit,flower (seeds),,,,,,,,,
493,rolls/buns,fruit/vegetable juice,,,,,,,,,
494,coffee,shopping bags,,,,,,,,,
495,root vegetables,butter milk,,,,,,,,,
496,tropical fruit,other vegetables,,,,,,,,,
497,tropical fruit,butter milk,brown bread,,,,,,,,
498,tropical fruit,whole milk,,,,,,,,,
499,herbs,citrus fruit,,,,,,,,,
500,other vegetables,beef,,,,,,,,,
501,nut snack,canned beer,,,,,,,,,
502,whole milk,other vegetables,other vegetables,sugar,,,,,,,
503,citrus fruit,napkins,,,,,,,,,
504,whole milk,root vegetables,,,,,,,,,
505,rolls/buns,butter milk,,,,,,,,,
506,tropical fruit,soft cheese,,,,,,,,,
507,rolls/buns,brown bread,canned beer,,,,,,,,
508,pork,pickled vegetables,,,,,,,,,
509,tropical fruit,misc. beverages,,,,,,,,,
510,photo/film,berries,other vegetables,jam,waffles,,,,,,
511,pip fruit,other vegetables,cling film/bags,,,,,,,,
512,rolls/buns,whole milk,soda,,,,,,,,
513,tropical fruit,yogurt,,,,,,,,,
514,cat food,rolls/buns,,,,,,,,,
515,berries,white bread,,,,,,,,,
516,newspapers,soups,,,,,,,,,
517,rolls/buns,soda,,,,,,,,,
518,other vegetables,napkins,,,,,,,,,
519,chicken,brown bread,,,,,,,,,
520,whole milk,soda,,,,,,,,,
521,pork,soda,,,,,,,,,
522,oil,pickled vegetables,,,,,,,,,
523,misc. beverages,spread cheese,,,,,,,,,
524,soda,whole milk,whole milk,sugar,,,,,,,
525,pork,eggs,,,,,,,,,
526,root vegetables,coffee,,,,,,,,,
527,beef,whole milk,,,,,,,,,
528,chicken,eggs,white bread,,,,,,,,
529,soda,whipped/sour cream,,,,,,,,,
530,canned beer,fish,,,,,,,,,
531,hard cheese,root vegetables,white bread,,,,,,,,
532,brown bread,other vegetables,,,,,,,,,
533,bottled beer,soda,,,,,,,,,
534,tropical fruit,root vegetables,,,,,,,,,
535,jam,soft cheese,,,,,,,,,
536,frozen vegetables,pip fruit,root vegetables,cereals,,,,,,,
537,other vegetables,berries,chocolate,sliced cheese,,,,,,,
538,yogurt,soda,yogurt,,,,,,,,
539,bottled water,shopping bags,waffles,,,,,,,,
540,whole milk,bottled beer,,,,,,,,,
541,pork,margarine,,,,,,,,,
542,soda,whole milk,,,,,,,,,
543,frozen meals,detergent,,,,,,,,,
544,specialty chocolate,canned fish,,,,,,,,,
545,soda,other vegetables,,,,,,,,,
546,root vegetables,soda,long life bakery product,,,,,,,,
547,pork,yogurt,,,,,,,,,
548,yogurt,berries,whole milk,shopping bags,white bread,dog food,baking powder,sliced cheese,,,
549,pork,tropical fruit,,,,,,,,,
550,soda,other vegetables,,,,,,,,,
551,soda,bottled beer,chicken,yogurt,,,,,,,
552,seasonal products,frozen vegetables,yogurt,,,,,,,,
553,long life bakery product,rolls/buns,whole milk,bottled water,,,,,,,
554,pip fruit,berries,,,,,,,,,
555,other vegetables,fruit/vegetable juice,,,,,,,,,
556,canned beer,sugar,,,,,,,,,
557,jam,soft cheese,,,,,,,,,
558,berries,pip fruit,pastry,,,,,,,,
559,jam cheese,soda,,,,,,,,,
560,soda,frozen meals,,,,,,,,,
561,whole milk,rolls/buns,,,,,,,,,
562,pork,eggs,,,,,,,,,
563,tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
564,chicken,cake,,,,,,,,,
565,chewing gum,whole milk,bottled beer,ready soups,,,,,,,
566,butter,ice cream,,,,,,,,,
567,whole milk,grapes,,,,,,,,,
568,berries,soft cheese,mustard,,,,,,,,
569,chocolate,rolls/buns,,,,,,,,,
570,citrus fruit,berries,whole milk,canned beer,,,,,,,
571,root vegetables,other vegetables,frozen vegetables,,,,,,,,
572,whole milk,berries,pet care,yogurt,,,,,,,
573,whole milk,house keeping products,,,,,,,,,
574,berries,brandy,,,,,,,,,
575,berries,other vegetables,,,,,,,,,
576,beef,jam,frozen meals,,,,,,,,
577,tropical fruit,whole milk,napkins,whole milk,,,,,,,
578,whole milk,bottled water,,,,,,,,,
579,yogurt,citrus fruit,,,,,,,,,
580,whole milk,cream cheese ,,,,,,,,,
581,rolls/buns,other vegetables,butter,root vegetables,rolls/buns,,,,,,
